,YEAR,STATE,StateFIP,CensusRegion,CensusDivision,FiscalEffortPercentage,FiscalEffortIncomePercentage,PredictedCostPerPupilState,ActualSpendingPerPupilState,StateEnrollment,TeacherSalary25_30,NonTeacherSalary25_30,TeacherSalary31_40,NonTeacherSalary31_40,TeacherSalary41_50,NonTeacherSalary41_50,TeacherSalary51_60,NonTeacherSalary51_60,SalaryParityAge25,SalaryParityAge35,SalaryParityAge45,SalaryParityAge55,TotalTeacherSalary
37,2016,PENNSYLVANIA,42,Northeast,Middle Atlantic,0.039285,0.043276,11147.65,14022.0,1570310.0,28406.74,30272.83,33023.42,35038.07,37938.0,40767.49,42672.21,45739.29,0.9383578,0.9425011,0.9305946,0.9329445,142040.37
38,2016,RHODE ISLAND,44,Northeast,New England,0.0425712,0.0457597,11713.81,15385.49,133856.0,31626.54,32547.15,37364.2,38404.25,43441.28,45298.15,49377.05,51606.79,0.9717143,0.9729185,0.9590079,0.9567937,161809.07
39,2016,SOUTH CAROLINA,45,South,South Atlantic,0.0408151,0.0433926,14094.85,10199.04,707724.0,21201.0,27097.32,24442.61,31530.65,28375.5,36673.64,32029.88,41080.43,0.782402,0.7752017,0.77373,0.7796869,106048.99
40,2016,SOUTH DAKOTA,46,Midwest,West North Central,0.0294505,0.0339173,9447.474,9085.21,130069.0,23861.11,26950.8,26216.99,29528.79,29040.71,32672.17,31147.28,35211.49,0.8853583,0.8878452,0.8888515,0.884577,110266.09
41,2016,TENNESSEE,47,South,East South Central,0.0281768,0.0326306,10751.47,8680.531,843337.0,20522.26,26318.35,24173.62,31036.9,28409.67,36635.92,32359.61,41558.45,0.7797701,0.7788669,0.7754596,0.778653,105465.15999999999
42,2016,TEXAS,48,South,West South Central,0.033881,0.0411106,15686.04,8931.258,5046156.0,23874.37,33140.43,27636.52,38327.16,31937.03,44284.58,35793.02,49704.79,0.7204,0.7210687,0.7211773,0.7201121,119240.94
43,2016,UTAH,49,West,Mountain,0.0314987,0.038677,7898.826,6918.48,545792.0,21736.21,28666.34,25598.58,33558.27,29649.02,39148.47,33931.84,44315.47,0.7582488,0.7628099,0.7573481,0.7656885,110915.65
44,2016,VERMONT,50,Northeast,New England,0.0513845,0.0512726,9466.373,18536.14,18406.0,25384.48,27924.43,29108.99,31980.47,33246.15,36641.24,37092.83,40749.06,0.9090421,0.9102113,0.9073424,0.9102745,124832.45
45,2016,VIRGINIA,51,South,South Atlantic,0.033562,0.037015,12242.92,11431.72,1283493.0,24875.61,33361.09,28450.44,38640.95,33170.3,44744.18,37290.35,50084.85,0.7456474,0.7362769,0.7413321,0.7445436,123786.70000000001
46,2016,WEST VIRGINIA,54,South,South Atlantic,0.0436812,0.0448611,9572.781,11136.8,276764.0,23737.2,27258.03,27673.73,31868.69,32535.6,37002.04,36451.23,41964.71,0.8708335,0.8683674,0.8792922,0.8686161,120397.76000000001
47,2016,WISCONSIN,55,Midwest,East North Central,0.0356235,0.0407152,10891.83,11432.68,854259.0,25062.17,30912.0,28824.6,35430.94,32889.61,40563.8,36284.3,44971.81,0.8107586,0.8135433,0.8108119,0.8068233,123060.68000000001
48,2016,WYOMING,56,West,Mountain,0.054396,0.0615196,7707.893,16441.95,94511.0,26114.25,26428.99,29609.71,30188.37,33985.51,34448.28,37428.38,38413.42,0.9880911,0.9808319,0.9865662,0.974357,127137.85
49,2017,ALABAMA,1,South,East South Central,0.037235,0.0401964,15578.03,9513.052,728698.0,21334.03,27675.3,24839.41,32181.89,29021.21,37647.59,32549.13,42413.46,0.7708688,0.7718444,0.7708652,0.7674246,107743.78
50,2017,ALASKA,2,West,Pacific,0.0452197,0.0558721,10833.29,17952.8,123706.0,27106.04,32541.21,32686.65,37935.78,37271.03,43523.49,41807.17,48919.53,0.8329757,0.8616313,0.8563429,0.854611,138870.89
51,2017,ARIZONA,4,West,Mountain,0.025666,0.0285159,11151.12,7901.481,932869.0,21895.95,33161.2,24939.33,37757.05,28321.85,42978.38,31397.27,47605.51,0.6602881,0.660521,0.658979,0.6595303,106554.40000000001
52,2017,ARKANSAS,5,South,West South Central,0.0425736,0.0414757,14857.41,9755.605,473076.0,23274.92,29952.7,26782.2,34121.14,30576.32,38929.63,33743.44,42961.32,0.7770557,0.784915,0.7854255,0.7854376,114376.88
53,2017,CALIFORNIA,6,West,Pacific,0.0325754,0.0379496,15053.07,11727.23,5980002.0,31970.99,38894.44,37263.5,45090.87,43036.19,52376.65,48384.83,58865.04,0.8219938,0.8264089,0.8216675,0.8219622,160655.51
54,2017,COLORADO,8,West,Mountain,0.0293194,0.0333294,10474.44,9716.551,885492.0,21568.62,31540.85,24818.74,36322.77,28748.63,41979.25,32012.83,47027.29,0.683831,0.6832834,0.6848294,0.6807288,107148.82
55,2017,CONNECTICUT,9,Northeast,New England,0.0350802,0.0375166,11714.58,19125.84,496074.0,30148.07,35729.16,34700.26,41667.75,40766.43,48842.41,45973.44,54934.95,0.8437945,0.8327845,0.8346523,0.8368704,151588.2
56,2017,DELAWARE,10,South,South Atlantic,0.0297773,0.0432386,13776.67,15180.45,114306.0,28092.14,36167.2,31509.22,42162.37,37160.36,49164.23,41679.98,55049.83,0.7767296,0.7473304,0.7558414,0.7571319,138441.7
57,2017,DISTRICT OF COLUMBIA,11,South,South Atlantic,0.021249,0.0520096,24286.21,21974.0,48462.0,29238.11,37044.63,35981.64,45755.09,44582.04,57041.1,52527.65,67199.55,0.7892672,0.7863964,0.7815776,0.7816667,162329.44
58,2017,FLORIDA,12,South,South Atlantic,0.0289507,0.0287163,13073.58,9075.39,2801945.0,24331.31,30699.02,27644.28,34881.63,31308.74,39659.21,34572.77,43751.54,0.7925763,0.7925168,0.7894443,0.7902069,117857.1
59,2017,GEORGIA,13,South,South Atlantic,0.0354635,0.043589,15828.68,10154.41,1732691.0,22244.93,31395.22,25890.93,36489.84,29975.24,42346.67,33540.9,47436.39,0.7085451,0.7095379,0.7078537,0.7070712,111652.0
60,2017,HAWAII,15,West,Pacific,0.0242121,0.0283236,14960.0,14960.0,179255.0,26287.29,31878.46,30205.52,36277.96,34047.03,41189.39,37641.25,45756.58,0.8246098,0.8326135,0.8265972,0.8226413,128181.09
61,2017,IDAHO,16,West,Mountain,0.0314491,0.0315793,8783.205,7465.937,277656.0,19929.56,26434.68,22784.05,30179.14,26052.53,34524.29,28943.94,38700.62,0.753917,0.7549602,0.7546147,0.7478934,97710.08
62,2017,INDIANA,18,Midwest,East North Central,0.0300877,0.0352608,10983.87,9932.552,1000414.0,23383.23,29307.22,26807.79,33612.96,30662.79,38569.48,34119.56,42751.0,0.7978658,0.7975432,0.7950013,0.7980998,114973.37
63,2017,IOWA,19,Midwest,West North Central,0.0366045,0.0452767,9829.178,10842.22,507627.0,25895.75,30951.32,29277.76,35064.49,33092.26,39689.75,36527.44,43683.36,0.8366605,0.8349687,0.8337734,0.8361865,124793.20999999999
64,2017,KANSAS,20,Midwest,West North Central,0.0369262,0.0428684,11091.97,10455.11,489292.0,21615.33,28262.08,24525.3,31972.02,27852.47,36224.89,30795.76,40126.75,0.7648174,0.7670863,0.7688766,0.7674622,104788.86
65,2017,KENTUCKY,21,South,East South Central,0.0367393,0.0407057,10863.3,10120.25,683686.0,22063.52,28107.2,25705.84,32746.81,29833.49,38031.3,33464.44,42896.81,0.7849773,0.7849876,0.7844458,0.7801148,111067.29000000001
66,2017,LOUISIANA,22,South,West South Central,0.034625,0.0397727,16861.33,11205.97,651625.0,23501.94,29932.88,27495.01,34760.98,31741.12,40604.77,35690.27,45669.76,0.7851548,0.7909735,0.7817093,0.7814859,118428.34
67,2017,MAINE,23,Northeast,New England,0.0418182,0.0419598,9417.568,13651.2,131798.0,23216.11,28470.58,26233.54,32405.56,29615.02,36920.51,32968.02,40980.14,0.8154421,0.8095382,0.8021293,0.8044879,112032.69
68,2017,MARYLAND,24,South,South Atlantic,0.0347818,0.0385321,13860.03,14847.86,885820.0,29367.08,35480.48,34473.0,41232.11,39854.3,48085.73,44767.91,54086.74,0.8276969,0.8360716,0.8288177,0.8277058,148462.29
69,2017,MASSACHUSETTS,25,Northeast,New England,0.031127,0.0358555,11746.25,16040.3,884666.0,29951.18,36495.99,34926.84,42472.55,40967.99,49693.17,46129.81,55924.91,0.8206704,0.8223393,0.824419,0.8248526,151975.82
70,2017,MICHIGAN,26,Midwest,East North Central,0.0351332,0.0385564,13031.42,10645.68,1327204.0,25604.68,30981.46,29585.58,35950.82,34212.18,41759.79,38155.59,46750.44,0.8264515,0.8229458,0.8192612,0.8161547,127558.03
71,2017,MINNESOTA,27,Midwest,West North Central,0.0370758,0.0435455,10521.18,11996.41,810824.0,26450.12,33999.02,30776.49,39040.55,35306.33,45204.63,39279.16,50504.2,0.777967,0.7883211,0.7810334,0.7777405,131812.1
72,2017,MISSISSIPPI,28,South,East South Central,0.0426028,0.0425301,18889.68,8736.886,455904.0,20542.33,25921.61,23479.36,29816.31,26707.76,34104.71,29973.17,37901.05,0.792479,0.7874671,0.7831107,0.790827,100702.62
73,2017,MISSOURI,29,Midwest,West North Central,0.0341484,0.0379673,11570.23,10140.45,887420.0,22241.75,29637.28,25624.6,34034.23,29397.72,39282.17,32830.55,43679.06,0.7504655,0.7529066,0.7483733,0.7516314,110094.62000000001
74,2017,MONTANA,30,West,Mountain,0.0397328,0.0393562,10053.59,11324.85,142144.0,25252.12,25905.03,28507.96,29145.81,32014.03,32877.75,35233.79,36235.57,0.9747961,0.9781154,0.9737294,0.9723539,121007.9
75,2017,NEBRASKA,31,Midwest,West North Central,0.039135,0.0492817,10750.78,12089.05,313673.0,24304.43,29006.13,27343.14,32682.89,31019.2,36890.69,34382.41,40699.05,0.8379067,0.8366196,0.8408408,0.8447964,117049.18000000001
76,2017,NEVADA,32,West,Mountain,0.0295386,0.0339316,13222.64,9319.908,442931.0,26446.65,31940.68,30067.55,35970.55,33962.33,40610.8,37322.05,44679.9,0.8279927,0.8358935,0.8362881,0.8353209,127798.58
