STATE,YEAR,Year_Budget,TotalBudget
MARYLAND,2019,ActualSpendingPerPupilState,15148.27
MASSACHUSETTS,2019,ActualSpendingPerPupilState,17603.46
MICHIGAN,2019,ActualSpendingPerPupilState,11387.58
MINNESOTA,2019,ActualSpendingPerPupilState,12655.82
MISSISSIPPI,2019,ActualSpendingPerPupilState,9247.326
MISSOURI,2019,ActualSpendingPerPupilState,10772.77
MONTANA,2019,ActualSpendingPerPupilState,11878.72
NEBRASKA,2019,ActualSpendingPerPupilState,12257.16
NEVADA,2019,ActualSpendingPerPupilState,9343.717
NEW HAMPSHIRE,2019,ActualSpendingPerPupilState,17445.1
NEW JERSEY,2019,ActualSpendingPerPupilState,19840.05
NEW MEXICO,2019,ActualSpendingPerPupilState,10176.62
NEW YORK,2019,ActualSpendingPerPupilState,25148.46
NORTH CAROLINA,2019,ActualSpendingPerPupilState,9856.789
NORTH DAKOTA,2019,ActualSpendingPerPupilState,13432.4
OHIO,2019,ActualSpendingPerPupilState,12558.19
OKLAHOMA,2019,ActualSpendingPerPupilState,9305.703
OREGON,2019,ActualSpendingPerPupilState,11754.2
PENNSYLVANIA,2019,ActualSpendingPerPupilState,15342.73
RHODE ISLAND,2019,ActualSpendingPerPupilState,16665.41
SOUTH CAROLINA,2019,ActualSpendingPerPupilState,11082.17
SOUTH DAKOTA,2019,ActualSpendingPerPupilState,10031.91
TENNESSEE,2019,ActualSpendingPerPupilState,9670.87
TEXAS,2019,ActualSpendingPerPupilState,9728.87
UTAH,2019,ActualSpendingPerPupilState,8005.192
VERMONT,2019,ActualSpendingPerPupilState,18536.14
VIRGINIA,2019,ActualSpendingPerPupilState,12639.84
WEST VIRGINIA,2019,ActualSpendingPerPupilState,11944.28
WISCONSIN,2019,ActualSpendingPerPupilState,12574.99
WYOMING,2019,ActualSpendingPerPupilState,16304.0
ALABAMA,2020,ActualSpendingPerPupilState,10128.49
ALASKA,2020,ActualSpendingPerPupilState,18560.79
ARIZONA,2020,ActualSpendingPerPupilState,8689.283
ARKANSAS,2020,ActualSpendingPerPupilState,10092.15
CALIFORNIA,2020,ActualSpendingPerPupilState,13415.4
COLORADO,2020,ActualSpendingPerPupilState,11503.26
